11501093,01/23/2015 03:35,[RMS] Burglary,700 STEFFAN ST  VALLEJO CA 94591,
11501030,01/22/2015 16:39,[RMS] Burglary,124 GARY CIR  VALLEJO CA 94591,
11501061,01/22/2015 10:47,[RMS] Burglary,1140 CAPITOL ST  VALLEJO CA 94590,Place: NEW FAITH CATHEDRAL
11500954,01/22/2015 09:22,[RMS] Attempted Burglary-Felony,145 PLAZA DR  VALLEJO CA 94591,Place: SURUKIS SUSHI TERIYAKI GRIL
11500948,01/22/2015 00:56,[RMS] Burglary,3420 SONOMA BL  VALLEJO CA 94590,Place: TACOS JALISCO
11501103,01/22/2015 00:40,[RMS] Burglary,1308 GLENN ST  VALLEJO CA 94590,
11500934,01/21/2015 17:51,[RMS] Burglary,473 SPRINGS RD  VALLEJO CA 94590,
11500937,01/21/2015 17:26,[RMS] Burglary,1827 MARIN ST  VALLEJO CA 94590,
11500925,01/21/2015 14:53,[RMS] Burglary,710 INDIANA ST  VALLEJO CA 94590,
11500953,01/21/2015 08:12,[RMS] Burglary,165 PLAZA DR  VALLEJO CA 94591,Place: L AND L HAWAIIAN B B Q
11500952,01/21/2015 07:21,[RMS] Burglary,165 PLAZA DR  VALLEJO CA 94591,Place: JAMBA JUICE
11500896,01/20/2015 15:33,[RMS] Burglary,1333 FARRELL ST  VALLEJO CA 94590,
11500895,01/20/2015 15:31,[RMS] Burglary,1050 CALAVERAS WY  VALLEJO CA 94590,
11500851,01/20/2015 01:10,[RMS] Burglary,2050 SOLANO AV  VALLEJO CA 94590,Place: U-HAUL OF VALLEJO
11500849,01/19/2015 23:22,[RMS] Burglary,300 HILARY WY  VALLEJO CA 94591,
11501015,01/19/2015 07:50,[RMS] Burglary,1401 ENTERPRISE ST  VALLEJO CA 94589,Place: MINI U STORAGE
11500868,01/19/2015 06:28,[RMS] Burglary,35 HALLIDAY ST  VALLEJO CA 94590,
11500992,01/19/2015 01:02,[RMS] Burglary,607 DANIELS AVE  VALLEJO CA 94590,
11500843,01/18/2015 16:17,[RMS] Burglary,522 NEBRASKA ST  VALLEJO CA 94590,
11500819,01/18/2015 09:55,[RMS] Attempted Burglary-Felony,1434 SPRINGS RD  VALLEJO CA 94591,Place: BLUE STAR MASSAGE THERAPY
11501170,01/17/2015 19:15,[RMS] Burglary,635 KENTUCKY ST  VALLEJO CA 94590,
11500761,01/17/2015 19:00,[RMS] Burglary,1444 LOUISIANA ST  VALLEJO CA 94590,Place: @HOUSE NOT CHECKED
11500757,01/17/2015 18:07,[RMS] Burglary,211 RICHARDSON DR  VALLEJO CA 94589,
11500758,01/17/2015 16:07,[RMS] Burglary,104 NORTH CAMINO ALTO  VALLEJO CA 94590,
11500753,01/17/2015 15:06,[RMS] Burglary,1433 CORONEL AV  VALLEJO CA 94591,
